run,step,dataset,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,0,ag_news,0.24609375,0.24609375,1.7124305416911478,0.9269939442968165,0.23174848607420412,1.0,256,0.0987460815047022,0.34888188212452703,,
seed-42,0,aokvqa,0.234375,0.234375,1.6686750929037364,0.9115873116848973,0.22789682792122432,1.0,256,,0.3100709592248186,,
seed-42,0,banking77,0.01171875,0.01171875,4.456826566372502,0.9891991491868809,0.01284674219723222,1.0,256,0.0004158004158004158,0.017693465130594666,,
seed-42,0,boolq,0.6484375,0.6484375,0.6639393159587054,0.4668754184247705,0.23343770921238524,1.0,256,0.40372670807453415,0.07961020258398344,,
seed-42,0,clevr_attribute,0.32421875,0.32421875,1.2272926494927348,0.6873567505716046,0.227154335976859,1.0,256,,0.1644800481077774,,
seed-42,0,clevr_count,0.1015625,0.1015625,2.5385069174199035,0.9319252701938806,0.08472047910853461,1.0,256,0.04703537099470578,0.048522993790361776,3.532854790735115,0.2174563845459485
seed-42,0,clevr_exist,0.57421875,0.57421875,0.6712622977602369,0.47841921359411016,0.23920960679705508,1.0,256,0.5467701853265547,0.03429866753335346,,
seed-42,0,contract_nli,0.4609375,0.4609375,1.0850860552064676,0.6942156506233137,0.23140521687443788,1.0,256,0.2103386809269162,0.24759104769384607,,
seed-42,0,emotion,0.2734375,0.2734375,1.8231723189729907,0.8405695093882861,0.14009491823138098,1.0,256,0.07157464212678936,0.06227848357244339,,
seed-42,0,esci_es,0.17578125,0.17578125,1.5414530130238138,0.8310625091996625,0.20776562729991563,1.0,256,0.07475083056478406,0.22649094156663688,,
seed-42,0,esci_jp,0.1875,0.1875,1.4818145400834615,0.8127991003667772,0.2031997750916943,1.0,256,0.08493112947658402,0.24134850298972588,,
seed-42,0,esci_us,0.17578125,0.17578125,1.5810197771640917,0.8640007507724587,0.2160001876931147,1.0,256,0.07475083056478406,0.2905691498505322,,
seed-42,0,mail_phishing,0.515625,0.515625,0.786799843758042,0.5827434786351485,0.29137173931757426,1.0,256,0.3402061855670103,0.20208631922415576,,
seed-42,0,mail_spam,0.328125,0.328125,0.9424026927447164,0.7280914597828451,0.36404572989142253,1.0,256,0.24705882352941178,0.35452702626318516,,
seed-42,0,massive_en-US,0.03125,0.03125,4.4176431875363384,0.9929956135978754,0.01654992689329792,1.0,256,0.0035752192614937717,0.008533060367258663,,
seed-42,0,massive_zh-CN,0.015625,0.015625,4.462960789664171,0.9939718855597921,0.0165661980926632,1.0,256,0.0009433962264150943,0.02294437154683454,,
seed-42,0,scienceqa,0.3125,0.3125,1.298961752975198,0.763044900860227,0.24683972554570915,1.0,256,,0.21435186784690974,,
seed-42,0,screenqa_choice,0.046875,0.046875,3.001467099869881,0.9487654670420589,0.05587984871998381,1.0,256,,0.04665315874591802,,
seed-42,0,screenqa_noul,0.53125,0.53125,0.797537803529315,0.5876453409464824,0.2938226704732412,1.0,256,0.3469387755102041,0.22441714252717487,,
seed-42,0,sharc,0.24609375,0.24609375,1.59053835993889,0.8317468245936777,0.20793670614841941,1.0,256,0.0987460815047022,0.1444581519153734,,
seed-42,0,sms_spam,0.12890625,0.12890625,0.9495373220217691,0.7452955453306932,0.3726477726653466,1.0,256,0.11758250251178608,0.5084816644484196,,
seed-42,0,typed_decisions,0.27734375,0.287304684088546,1.4114926316385177,0.35613997785183266,0.11116482548694323,1.0,256,,0.26594834752017255,0.7207214378135028,0.11069547528587463
seed-42,0,vqav2_yesno,0.47265625,0.4725477430555556,0.765697545261365,0.42397059580789964,0.21198529790394982,1.0,256,0.33342334175555,0.19844644336287875,,
seed-42,0,wikiqa,0.0625,0.0625,1.0809216944776199,0.8655276438845108,0.4327638219422554,1.0,256,0.058823529411764705,0.6119157415195523,,
seed-42,0,xnli_en,0.37109375,0.37109375,1.129891896749238,0.691803479438731,0.23060115981291032,1.0,256,0.1804368471035138,0.1253867328309523,,
seed-42,0,xnli_zh,0.32421875,0.32421875,1.11838254759253,0.6810729037565888,0.22702430125219628,1.0,256,0.2226868293428037,0.09526686450571752,,
seed-42,400,ag_news,0.86328125,0.86328125,0.9163446149536634,0.2409584519086897,0.060239612977172424,1.0,256,0.8594568670315188,0.11370261057090719,,
seed-42,400,aokvqa,0.703125,0.703125,0.8378912977576258,0.41205266767704185,0.10301316691926046,1.0,256,,0.10337824977441316,,
seed-42,400,banking77,0.5625,0.5625,1.8401049056821388,0.5998971093092356,0.007790871549470593,1.0,256,0.5181296043138147,0.2238904724979756,,
seed-42,400,boolq,0.828125,0.828125,0.7662227352147388,0.28688988546761884,0.14344494273380942,1.0,256,0.8158875449493298,0.12731976627041847,,
seed-42,400,clevr_attribute,0.9609375,0.9609375,0.6186176117106507,0.0762246888572184,0.02292932430158671,1.0,256,,0.03682681146728976,,
seed-42,400,clevr_count,0.5703125,0.5703125,4.714197239616674,0.7469352669894553,0.0679032060899505,1.0,256,0.2783109548710661,0.3331076949333566,0.6019058925556471,0.05335227644300984
seed-42,400,clevr_exist,0.93359375,0.93359375,0.7296949806054747,0.1322587446730591,0.06612937233652955,1.0,256,0.9335684083589015,0.07004298458069759,,
seed-42,400,contract_nli,0.6328125,0.6328125,0.8180133152474482,0.47591301045087897,0.15863767015029298,1.0,256,0.4276643681299925,0.08574731586181614,,
