run,dataset,calibration,selected_step,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,ag_news,uncalibrated,3600,0.8948684210526315,0.8948684210526315,1.5864333397443175,0.19942686862717462,0.049856717156793656,1.0,7600,0.8948439395974309,0.09728134197023616,,
seed-42,aokvqa,uncalibrated,3600,0.781195079086116,0.781195079086116,0.6399405220742845,0.31189585919183443,0.07797396479795861,1.0,1138,,0.04913362515021816,,
seed-42,banking77,uncalibrated,3600,0.7295454545454545,0.7295454545454545,1.0160065375975371,0.37519549995255447,0.0048726688305526554,1.0,3080,0.7229006784696854,0.045636185857152414,,
seed-42,boolq,uncalibrated,3600,0.8296636085626912,0.8296636085626912,0.4629932556704323,0.2577853762059874,0.1288926881029937,1.0,3270,0.814284471786104,0.08387849123151181,,
seed-42,clevr_attribute,uncalibrated,3600,0.983623031972308,0.983623031972308,0.18174382368692368,0.030496873780155042,0.010233436703366322,1.0,53734,,0.014633831076069203,,
seed-42,clevr_count,uncalibrated,3600,0.8350460165998532,0.8350460165998532,0.44397336472443016,0.2300511775446172,0.02091374341314702,1.0,35422,0.4379960238993394,0.042758872247454456,0.20358077835995098,0.013414909230414817
seed-42,clevr_exist,uncalibrated,3600,0.973955238661121,0.973955238661121,0.34543811208272857,0.049511919990329084,0.024755959995164542,1.0,20196,0.9739509875745347,0.02453951432535332,,
seed-42,contract_nli,uncalibrated,3600,0.815004262574595,0.815004262574595,0.5410848687829996,0.2827404624473483,0.09424682081578277,1.0,1173,0.7683914482667181,0.07266705488812292,,
seed-42,emotion,uncalibrated,3600,0.7645,0.7645,0.7082623540018835,0.3490454145487365,0.05817423575812274,1.0,2000,0.677873360139745,0.08441487584626675,,
seed-42,esci_es,uncalibrated,3600,0.5607287449392713,0.5607287449392713,1.0297111584124892,0.5685731697088442,0.14214329242721105,1.0,1482,0.4524721180034872,0.022988721817299686,,
seed-42,esci_jp,uncalibrated,3600,0.6062461726883037,0.6062461726883037,0.948862605853514,0.5344428437146058,0.13361071092865145,1.0,1633,0.40578862107011726,0.06795431295740953,,
seed-42,esci_us,uncalibrated,3600,0.5100436681222708,0.5100436681222708,1.0252061632491485,0.5919520561531143,0.14798801403827858,1.0,1145,0.33161111409668453,0.06368754664479719,,
seed-42,mail_phishing,uncalibrated,3600,0.9923809523809524,0.9923809523809524,0.08377134444937835,0.014128947608492353,0.0070644738042461765,1.0,1050,0.9920634920634921,0.007232994320165211,,
seed-42,mail_spam,uncalibrated,3600,0.9882903981264637,0.9882903981264637,0.178861708169831,0.02349410470004615,0.011747052350023076,1.0,854,0.9850414774956561,0.01235812234874514,,
seed-42,massive_en-US,uncalibrated,3600,0.7919191919191919,0.7919191919191919,0.8025965442982573,0.3108021644692001,0.005180036074486668,1.0,2970,0.7153164332187686,0.050741236213941214,,
seed-42,massive_zh-CN,uncalibrated,3600,0.7555631633002396,0.7555631633002396,0.9207017732833558,0.353519116908216,0.005891985281803599,1.0,2921,0.670169303743633,0.062418474667654295,,
seed-42,scienceqa,uncalibrated,3600,0.8458106098165592,0.8458106098165592,0.3746015508514859,0.21425459506212902,0.07871781554028945,1.0,2017,,0.03546384163616315,,
seed-42,screenqa_choice,uncalibrated,3600,0.2240566037735849,0.2240566037735849,2.416552765667102,0.8696308776000089,0.051592258498552646,1.0,848,,0.024904937970056447,,
seed-42,screenqa_noul,uncalibrated,3600,0.7113594040968343,0.7113594040968343,0.5880873383769925,0.39892371129406273,0.19946185564703137,1.0,2148,0.710265246449457,0.048102092360151234,,
seed-42,sharc,uncalibrated,3600,0.6679555340744321,0.6679555340744321,0.773708681639741,0.4419327198430515,0.11048317996076287,1.0,8276,0.7158830272451061,0.06948556557004751,,
seed-42,sms_spam,uncalibrated,3600,0.9937027707808564,0.9937027707808564,0.10780458100168348,0.012594385609705867,0.0062971928048529335,1.0,794,0.9876865243431521,0.006297194345582846,,
seed-42,typed_decisions,uncalibrated,3600,0.7175,0.5850916313083789,0.9284310247900305,0.08388418568183931,0.024937143973177433,1.0,2000,,0.11655615163402498,0.3009093056154582,0.024246493291562598
seed-42,vqav2_yesno,uncalibrated,3600,0.8081955072821525,0.7825829797071466,0.4679915071376095,0.16703037534880774,0.08351518767440387,1.0,8102,0.8081849876484648,0.022391758080952062,,
seed-42,wikiqa,uncalibrated,3600,0.9594155844155844,0.9594155844155844,0.50905200495323,0.07868930296646633,0.03934465148323316,1.0,6160,0.7490221642764016,0.038977836616275616,,
seed-42,xnli_en,uncalibrated,3600,0.8376921541225794,0.8376921541225794,0.43560572447736834,0.23922237038013494,0.07974079012671165,1.0,5009,0.83775977955995,0.029210652985785873,,
seed-42,xnli_zh,uncalibrated,3600,0.7558394889199441,0.7558394889199441,0.6288655362505946,0.35040645749110844,0.11680215249703614,1.0,5009,0.7557131887862695,0.055094314719134924,,
seed-42,ag_news,calibrated,3600,0.8948684210526315,0.8948684210526315,1.0120495957610969,0.19190186144410415,0.04797546536102604,1.0,7600,0.8948439395974309,0.09112472808897418,,
seed-42,aokvqa,calibrated,3600,0.781195079086116,0.781195079086116,0.6199584794554074,0.31942881228125286,0.07985720307031322,1.0,1138,,0.06937503030383939,,
seed-42,banking77,calibrated,3600,0.7295454545454545,0.7295454545454545,1.2646686494575743,0.43873422124023215,0.005697847029093924,1.0,3080,0.7229006784696854,0.21810840219056485,,
seed-42,boolq,calibrated,3600,0.8296636085626912,0.8296636085626912,0.4253947743222106,0.26363179761022765,0.13181589880511382,1.0,3270,0.814284471786104,0.09807024958524896,,
seed-42,clevr_attribute,calibrated,3600,0.983623031972308,0.983623031972308,0.10707705062839543,0.02896942439764017,0.009723112776748569,1.0,53734,,0.012984338371797442,,
seed-42,clevr_count,calibrated,3600,0.8350460165998532,0.8350460165998532,0.43041730307263143,0.2251257376207669,0.020465976147342444,1.0,35422,0.4379960238993394,0.011600088024190365,0.22042632834787126,0.013260424923225876
seed-42,clevr_exist,calibrated,3600,0.973955238661121,0.973955238661121,0.10434406987853766,0.04417667904212736,0.02208833952106368,1.0,20196,0.9739509875745347,0.01910107344694394,,
seed-42,contract_nli,calibrated,3600,0.815004262574595,0.815004262574595,0.5062695262449577,0.27670533706283235,0.09223511235427743,1.0,1173,0.7683914482667181,0.05162579407145129,,
seed-42,emotion,calibrated,3600,0.7645,0.7645,0.6816831720847161,0.3430520406452727,0.05717534010754545,1.0,2000,0.677873360139745,0.06341593527348925,,
seed-42,esci_es,calibrated,3600,0.5607287449392713,0.5607287449392713,1.078969884962501,0.5914819007918068,0.1478704751979517,1.0,1482,0.4524721180034872,0.12400007316754834,,
seed-42,esci_jp,calibrated,3600,0.6062461726883037,0.6062461726883037,1.0258102033844536,0.5670945080364121,0.14177362700910304,1.0,1633,0.40578862107011726,0.16103632132618867,,
seed-42,esci_us,calibrated,3600,0.5100436681222708,0.5100436681222708,1.067837026248187,0.5970321542263627,0.14925803855659067,1.0,1145,0.33161111409668453,0.07602348706884332,,
seed-42,mail_phishing,calibrated,3600,0.9923809523809524,0.9923809523809524,0.028407697574579692,0.01234915110045486,0.00617457555022743,1.0,1050,0.9920634920634921,0.003932002866536187,,
seed-42,mail_spam,calibrated,3600,0.9882903981264637,0.9882903981264637,0.058082191018129684,0.023278538094108757,0.011639269047054378,1.0,854,0.9850414774956561,0.008406652574916285,,
seed-42,massive_en-US,calibrated,3600,0.7919191919191919,0.7919191919191919,0.9825763737674049,0.36228300621868803,0.006038050103644801,1.0,2970,0.7153164332187686,0.19015621780781106,,
seed-42,massive_zh-CN,calibrated,3600,0.7555631633002396,0.7555631633002396,1.0811130959696855,0.3994017591285319,0.006656695985475531,1.0,2921,0.670169303743633,0.1819170745708504,,
seed-42,scienceqa,calibrated,3600,0.8458106098165592,0.8458106098165592,0.374610242889667,0.21497936244258642,0.07908967413898277,1.0,2017,,0.04454757311174103,,
seed-42,screenqa_choice,calibrated,3600,0.2240566037735849,0.2240566037735849,2.5047461572785332,0.8824937494661184,0.05265797294353741,1.0,848,,0.08027441622601876,,
seed-42,screenqa_noul,calibrated,3600,0.7113594040968343,0.7113594040968343,0.6237390648282,0.4317503003198795,0.21587515015993974,1.0,2148,0.710265246449457,0.12811849554902893,,
seed-42,sharc,calibrated,3600,0.6679555340744321,0.6679555340744321,0.7939502986249272,0.4458671348371144,0.1114667837092786,1.0,8276,0.7158830272451061,0.07615230204120846,,
seed-42,sms_spam,calibrated,3600,0.9937027707808564,0.9937027707808564,0.03548077261650998,0.012318649303112442,0.006159324651556221,1.0,794,0.9876865243431521,0.0008923657054139555,,
seed-42,typed_decisions,calibrated,3600,0.7175,0.5850916313083789,0.9538801794898204,0.1025710412320041,0.03361858640360638,1.0,2000,,0.21438325444766657,0.31888391357464,0.025514197895029168
seed-42,vqav2_yesno,calibrated,3600,0.8081955072821525,0.7825829797071466,0.5284335917506997,0.20994896637178717,0.10497448318589359,1.0,8102,0.8081849876484648,0.16743869993616028,,
seed-42,wikiqa,calibrated,3600,0.9594155844155844,0.9594155844155844,0.1561085665724391,0.07112343187444517,0.035561715937222585,1.0,6160,0.7490221642764016,0.027107934086168437,,
seed-42,xnli_en,calibrated,3600,0.8376921541225794,0.8376921541225794,0.47132057663318166,0.2550007816318463,0.08500026054394878,1.0,5009,0.83775977955995,0.09499619934384462,,
seed-42,xnli_zh,calibrated,3600,0.7558394889199441,0.7558394889199441,0.6306804230304749,0.35537402275908847,0.11845800758636284,1.0,5009,0.7557131887862695,0.07703421614284633,,
