run,kind,step,elapsed_s,step_s,reward_mean,reward_std,advantage_rms,policy_loss,ce_loss,loss,accuracy,grad_norm,lr,memory_allocated_gib,memory_reserved_gib,memory_peak_allocated_gib,memory_peak_reserved_gib,memory_device_free_gib,memory_device_total_gib
seed-42,train,1,4.656034660001751,4.652280526002869,-2.1483867168426514,0.552038311958313,0.9842471480369568,-0.36572110652923584,2.310711145401001,1.9449900388717651,0.21875,108.22789764404297,1.388888888888889e-06,2.0460691452026367,2.388671875,4.293321132659912,23.283203125,20.3125,23.984375
seed-42,train,10,42.60773282599985,1.763522640991141,-1.3360439538955688,0.4077950119972229,0.9842472672462463,-0.04821275174617767,1.6420894861221313,1.593876600265503,0.15625,181.97796630859375,1.388888888888889e-05,2.0040788650512695,5.76953125,4.62257719039917,23.283203125,16.654739379882812,23.984375
seed-42,train,20,76.68334018399764,4.543061999007477,-0.71077561378479,0.9185531139373779,0.9842469692230225,0.16324999928474426,1.1179907321929932,1.281240701675415,0.4375,64.059326171875,2.777777777777778e-05,1.9954876899719238,5.76953125,4.624932289123535,23.283203125,16.461380004882812,23.984375
seed-42,train,30,120.13114257299458,1.9421290979953483,-0.8686588406562805,0.5331404209136963,0.9842475056648254,0.020898472517728806,1.262328863143921,1.2832274436950684,0.34375,47.9506950378418,4.166666666666667e-05,2.028019428253174,5.76953125,4.624932289123535,23.283203125,16.283645629882812,23.984375
seed-42,train,40,160.4933882549958,4.329502117994707,-0.545475959777832,0.7608071565628052,0.984245777130127,-0.13663074374198914,1.009031057357788,0.8724002838134766,0.5625,44.016265869140625,5.555555555555556e-05,1.981308937072754,5.76953125,4.624932289123535,23.283203125,16.143020629882812,23.984375
seed-42,train,50,197.76955949800322,4.737773984001251,-1.0840330123901367,0.7781555652618408,0.984246015548706,-0.01403682678937912,1.4473111629486084,1.433274269104004,0.40625,50.35832214355469,6.944444444444444e-05,2.081150531768799,5.76953125,4.624932289123535,23.283203125,16.010208129882812,23.984375
seed-42,train,60,234.86298759600322,5.90345422399696,-1.343853235244751,1.5675628185272217,0.9842464327812195,-0.0925874188542366,1.7042092084884644,1.6116218566894531,0.40625,88.59510040283203,8.333333333333334e-05,2.0090808868408203,5.76953125,4.624932289123535,23.283203125,15.904739379882812,23.984375
seed-42,train,70,277.38629228000354,2.7478949739888776,-0.3276771903038025,0.8504104614257812,0.9842433929443359,0.14936178922653198,0.844063937664032,0.993425726890564,0.65625,66.3256607055664,9.722222222222223e-05,2.001523017883301,5.76953125,4.624932289123535,23.283203125,15.779739379882812,23.984375
seed-42,train,80,327.12264886900084,2.010655146004865,-0.03083277866244316,0.9852491617202759,0.9842451810836792,-0.09702552109956741,0.57767653465271,0.48065102100372314,0.65625,88.52948760986328,9.999799225218435e-05,2.00577974319458,5.76953125,4.624932289123535,23.283203125,15.695755004882812,23.984375
seed-42,train,90,362.39402125000197,2.898434906004695,0.1394747942686081,0.7653387784957886,0.9842092990875244,-0.28037598729133606,0.46587395668029785,0.18549799919128418,0.84375,92.92235565185547,9.998815881662174e-05,2.0062942504882812,5.76953125,4.624932289123535,23.283203125,15.609817504882812,23.984375
seed-42,train,100,408.41213752700423,3.174819669002318,-0.2894763648509979,0.9052646160125732,0.9842451214790344,-0.13359561562538147,0.7831088304519653,0.6495132446289062,0.75,45.5429801940918,9.997013271180644e-05,2.02584171295166,5.76953125,4.624932289123535,23.283203125,15.486770629882812,23.984375
seed-42,train,110,444.4844109179976,3.5833641520002857,-0.9699299931526184,0.8691912889480591,0.9842459559440613,0.1632276475429535,1.3864109516143799,1.5496385097503662,0.625,63.72437286376953,9.99439172204226e-05,1.9851946830749512,5.76953125,4.624932289123535,23.283203125,15.408645629882812,23.984375
seed-42,train,120,484.0770430880075,4.814014211005997,-1.3130810260772705,1.201384425163269,0.9842463731765747,-0.28830504417419434,1.6592450141906738,1.3709399700164795,0.4375,72.57279968261719,9.990951711650083e-05,2.001384735107422,5.76953125,4.671022415161133,23.283203125,15.350051879882812,23.984375
seed-42,train,130,515.7946783340012,2.3990851840062533,-0.40251442790031433,0.9509556293487549,0.9842441082000732,0.06405338644981384,0.9101312160491943,0.9741846919059753,0.65625,175.62974548339844,9.986693866454904e-05,1.9848899841308594,5.76953125,4.671022415161133,23.283203125,15.264114379882812,23.984375
seed-42,train,140,555.7355308179976,2.677072288992349,-0.48488348722457886,0.8410228490829468,0.9842462539672852,-0.06622034311294556,0.9508693218231201,0.8846489191055298,0.5625,50.04256820678711,9.981618961841137e-05,2.001316547393799,5.76953125,4.671022415161133,23.283203125,15.195755004882812,23.984375
seed-42,train,150,594.638810125005,1.6935171079967404,-0.34581899642944336,0.706602156162262,0.9842458367347717,-0.10351184010505676,0.8539442420005798,0.7504324316978455,0.625,32.322837829589844,9.975727921985638e-05,1.9817862510681152,5.76953125,4.671022415161133,23.283203125,15.107864379882812,23.984375
seed-42,train,160,637.2100411819993,5.875275273996522,-0.9335575103759766,1.0129034519195557,0.9842460751533508,0.21062788367271423,1.3830630779266357,1.5936908721923828,0.5625,36.54458999633789,9.96902181968939e-05,2.048900604248047,5.76953125,4.671022415161133,23.283203125,15.047317504882812,23.984375
