run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,aokvqa,uncalibrated,3600,0.8666666666666667,0.9333333333333333,99,0.904482748562463,0.8585858585858586
seed-42,aokvqa,uncalibrated,3600,0.9333333333333333,1.0,547,0.9878953573073473,0.9542961608775137
seed-42,banking77,uncalibrated,3600,0.0,0.06666666666666667,2,0.05863291487099079,0.0
seed-42,banking77,uncalibrated,3600,0.06666666666666667,0.13333333333333333,32,0.1042222021228408,0.25
seed-42,banking77,uncalibrated,3600,0.13333333333333333,0.2,80,0.1681145663904638,0.2375
seed-42,banking77,uncalibrated,3600,0.2,0.26666666666666666,109,0.2336938189342347,0.29357798165137616
seed-42,banking77,uncalibrated,3600,0.26666666666666666,0.3333333333333333,111,0.30075256120693755,0.2882882882882883
seed-42,banking77,uncalibrated,3600,0.3333333333333333,0.4,134,0.36779603642444425,0.4253731343283582
seed-42,banking77,uncalibrated,3600,0.4,0.4666666666666667,142,0.43472163491483956,0.3732394366197183
seed-42,banking77,uncalibrated,3600,0.4666666666666667,0.5333333333333333,157,0.49681428682980916,0.4840764331210191
seed-42,banking77,uncalibrated,3600,0.5333333333333333,0.6,126,0.5648752505695868,0.5476190476190477
seed-42,banking77,uncalibrated,3600,0.6,0.6666666666666666,126,0.6331691337370113,0.5396825396825397
seed-42,banking77,uncalibrated,3600,0.6666666666666666,0.7333333333333333,124,0.7008056412168828,0.6048387096774194
seed-42,banking77,uncalibrated,3600,0.7333333333333333,0.8,125,0.7680517211151658,0.68
seed-42,banking77,uncalibrated,3600,0.8,0.8666666666666667,182,0.8350425136663406,0.7857142857142857
seed-42,banking77,uncalibrated,3600,0.8666666666666667,0.9333333333333333,233,0.9035428995310104,0.8111587982832618
seed-42,banking77,uncalibrated,3600,0.9333333333333333,1.0,1397,0.986046326341507,0.9599141016463851
seed-42,boolq,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,boolq,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,boolq,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,boolq,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,boolq,uncalibrated,3600,0.26666666666666666,0.3333333333333333,0,,
seed-42,boolq,uncalibrated,3600,0.3333333333333333,0.4,0,,
seed-42,boolq,uncalibrated,3600,0.4,0.4666666666666667,0,,
seed-42,boolq,uncalibrated,3600,0.4666666666666667,0.5333333333333333,53,0.5163176610680507,0.5849056603773585
seed-42,boolq,uncalibrated,3600,0.5333333333333333,0.6,109,0.5687927270317159,0.48623853211009177
seed-42,boolq,uncalibrated,3600,0.6,0.6666666666666666,120,0.6352824615822646,0.5166666666666667
seed-42,boolq,uncalibrated,3600,0.6666666666666666,0.7333333333333333,145,0.7003188111220485,0.5862068965517241
