engine,case,questions,repeat,end_to_end_ms,input_shape,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib,device_free_gib,device_total_gib,telemetry_board_vram_bytes_max,telemetry_board_vram_bytes_mean,telemetry_gpu_busy_percent_max,telemetry_gpu_busy_percent_mean,telemetry_power_microwatts_max,telemetry_power_microwatts_mean,telemetry_rss_bytes_max,telemetry_rss_bytes_mean,telemetry_temperature_millidegrees_max,telemetry_temperature_millidegrees_mean
dohnuts,vision_protocol_text_1q,1,0,14.97936699888669,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,1,15.012699994258583,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,2,14.901039015967399,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,3,14.657508989330381,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,4,15.040793980006129,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,5,14.864330005366355,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,6,14.548051985912025,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,7,14.624025003286079,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,8,15.141123993089423,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,9,14.916537998942658,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
