run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,aokvqa,uncalibrated,2800,0.8,0.8666666666666667,38,0.8320711939242084,0.631578947368421
seed-42,aokvqa,uncalibrated,2800,0.8666666666666667,0.9333333333333333,60,0.9009832505171881,0.6166666666666667
seed-42,aokvqa,uncalibrated,2800,0.9333333333333333,1.0,881,0.9941912202381938,0.9330306469920545
seed-42,banking77,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,banking77,uncalibrated,2800,0.06666666666666667,0.13333333333333333,5,0.10839795857259793,0.0
seed-42,banking77,uncalibrated,2800,0.13333333333333333,0.2,16,0.17394098600235283,0.125
seed-42,banking77,uncalibrated,2800,0.2,0.26666666666666666,48,0.23790248685247387,0.14583333333333334
seed-42,banking77,uncalibrated,2800,0.26666666666666666,0.3333333333333333,90,0.2998944006429735,0.2777777777777778
seed-42,banking77,uncalibrated,2800,0.3333333333333333,0.4,127,0.368317267593814,0.36220472440944884
seed-42,banking77,uncalibrated,2800,0.4,0.4666666666666667,150,0.4346834450695797,0.38666666666666666
seed-42,banking77,uncalibrated,2800,0.4666666666666667,0.5333333333333333,193,0.5001237000293619,0.44559585492227977
seed-42,banking77,uncalibrated,2800,0.5333333333333333,0.6,178,0.5680077174101388,0.5617977528089888
seed-42,banking77,uncalibrated,2800,0.6,0.6666666666666666,164,0.632983637535239,0.6219512195121951
seed-42,banking77,uncalibrated,2800,0.6666666666666666,0.7333333333333333,184,0.7006010542283885,0.6521739130434783
seed-42,banking77,uncalibrated,2800,0.7333333333333333,0.8,232,0.7673552083905066,0.7198275862068966
seed-42,banking77,uncalibrated,2800,0.8,0.8666666666666667,262,0.8319474856396367,0.8015267175572519
seed-42,banking77,uncalibrated,2800,0.8666666666666667,0.9333333333333333,332,0.9031675949849504,0.8373493975903614
seed-42,banking77,uncalibrated,2800,0.9333333333333333,1.0,1099,0.9778378748755486,0.9727024567788899
seed-42,boolq,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,boolq,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,boolq,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,boolq,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,boolq,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,boolq,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,boolq,uncalibrated,2800,0.4,0.4666666666666667,0,,
seed-42,boolq,uncalibrated,2800,0.4666666666666667,0.5333333333333333,42,0.5173603910492525,0.5952380952380952
seed-42,boolq,uncalibrated,2800,0.5333333333333333,0.6,75,0.5699932970738978,0.5333333333333333
seed-42,boolq,uncalibrated,2800,0.6,0.6666666666666666,86,0.6311342827290759,0.5348837209302325
seed-42,boolq,uncalibrated,2800,0.6666666666666666,0.7333333333333333,86,0.7004899874707403,0.6511627906976745
seed-42,boolq,uncalibrated,2800,0.7333333333333333,0.8,112,0.7672472389784196,0.6875
seed-42,boolq,uncalibrated,2800,0.8,0.8666666666666667,161,0.8351351302900211,0.7639751552795031
seed-42,boolq,uncalibrated,2800,0.8666666666666667,0.9333333333333333,248,0.9026877558846005,0.7782258064516129
seed-42,boolq,uncalibrated,2800,0.9333333333333333,1.0,2460,0.9908938980197494,0.9382113821138212
seed-42,clevr_attribute,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,clevr_attribute,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,clevr_attribute,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,clevr_attribute,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,clevr_attribute,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,clevr_attribute,uncalibrated,2800,0.3333333333333333,0.4,0,,
