run,step,dataset,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,400,clevr_exist,0.98046875,0.98046875,0.2748104219419357,0.03948321212646176,0.01974160606323088,1.0,256,0.9804541359353764,0.020691687261866633,,
seed-42,400,contract_nli,0.7734375,0.7734375,0.6507084497261958,0.3430196191614459,0.1143398730538153,1.0,256,0.6579624717555752,0.07409590129333342,,
seed-42,400,emotion,0.66796875,0.66796875,0.972586356963157,0.4571095029291975,0.07618491715486626,1.0,256,0.5833705133705133,0.0827086434317051,,
seed-42,400,esci_es,0.49609375,0.49609375,1.1447234854640445,0.6258171774015376,0.1564542943503844,1.0,256,0.3979100458308379,0.09373171999807353,,
seed-42,400,esci_jp,0.515625,0.515625,1.144192790982947,0.6294758237136007,0.15736895592840017,1.0,256,0.4060496273981291,0.09904030788301722,,
seed-42,400,esci_us,0.453125,0.453125,1.2037978040544028,0.6613901701536565,0.16534754253841413,1.0,256,0.35027392261404033,0.06346149025017059,,
seed-42,400,mail_phishing,0.85546875,0.85546875,3.1872202474201234,0.2893888860470284,0.1446944430235142,1.0,256,0.8538429490641443,0.14559107447787875,,
seed-42,400,mail_spam,0.9609375,0.9609375,0.8384637012818918,0.0781230874635715,0.03906154373178575,1.0,256,0.9545454545454546,0.03906194027978116,,
seed-42,400,massive_en-US,0.78515625,0.78515625,1.0911746090291443,0.3539546897123219,0.005899244828538698,1.0,256,0.7338381464049913,0.10115743799866912,,
seed-42,400,massive_zh-CN,0.71484375,0.71484375,1.2540604529671089,0.447296215817375,0.007454936930289583,1.0,256,0.6585954326113548,0.13977058882293283,,
seed-42,400,scienceqa,0.875,0.875,0.315244144677661,0.17811178151564683,0.06728580676869297,1.0,256,,0.057921297521638604,,
seed-42,400,screenqa_choice,0.14453125,0.14453125,2.8864824224306243,0.9643124966229497,0.057486917936524766,1.0,256,,0.1819342349632151,,
seed-42,400,screenqa_noul,0.62109375,0.62109375,0.7930788888546001,0.5342184338181729,0.26710921690908646,1.0,256,0.6066840896491645,0.14425807268364768,,
seed-42,400,sharc,0.609375,0.609375,0.9288463149020414,0.5011974323652204,0.1252993580913051,1.0,256,0.6808096213288369,0.12331635498126334,,
seed-42,400,sms_spam,0.96484375,0.96484375,0.7540087396303216,0.07030192070318722,0.03515096035159361,1.0,256,0.9083349910483389,0.03515360471646278,,
seed-42,400,typed_decisions,0.6484375,0.5280273393555172,1.051332396778971,0.14708129412936005,0.04630273783721386,1.0,256,,0.08566910891369342,0.3693475890462289,0.03685567029156531
seed-42,400,vqav2_yesno,0.8359375,0.7970703125,0.4964605247142325,0.1419466705037374,0.0709733352518687,1.0,256,0.8347168419110865,0.05007085202241113,,
seed-42,400,wikiqa,0.9375,0.9375,1.4149149139141752,0.12499996891392266,0.06249998445696133,1.0,256,0.4838709677419355,0.0624999921107654,,
seed-42,400,xnli_en,0.83984375,0.83984375,0.4565942127126067,0.24065634042458867,0.08021878014152956,1.0,256,0.8403912449758509,0.05451783192045454,,
seed-42,400,xnli_zh,0.80078125,0.80078125,0.6008906826487652,0.30030514191516344,0.10010171397172116,1.0,256,0.802176264862832,0.06804074863008217,,
seed-42,800,ag_news,0.8828125,0.8828125,0.4621432185122984,0.1987083046541595,0.04967707616353988,1.0,256,0.8814407332321871,0.07586850090788752,,
seed-42,800,aokvqa,0.81640625,0.81640625,0.4548648834660302,0.24265177748410116,0.06066294437102529,1.0,256,,0.05251295155773758,,
seed-42,800,banking77,0.64453125,0.64453125,1.562886716872066,0.4969192683143111,0.00645349699109495,1.0,256,0.5964360670243023,0.06775693409349709,,
seed-42,800,boolq,0.8671875,0.8671875,0.4583191464546681,0.23017090150890165,0.11508545075445083,1.0,256,0.8502923976608188,0.08861027571058734,,
seed-42,800,clevr_attribute,0.99609375,0.99609375,0.026238783660046013,0.008686867860879065,0.0011873152969852474,1.0,256,,0.005675814600043754,,
seed-42,800,clevr_count,0.83984375,0.83984375,0.4573202696957902,0.22091218347000238,0.02008292577000021,1.0,256,0.7924275402517899,0.07243990643355616,0.21438922170053737,0.012777891356777126
seed-42,800,clevr_exist,0.9765625,0.9765625,0.21346955437107779,0.043865228536602775,0.021932614268301388,1.0,256,0.9765496183206106,0.022654073802782868,,
seed-42,800,contract_nli,0.7265625,0.7265625,0.6538222874952621,0.36094198083516704,0.12031399361172235,1.0,256,0.6318928019135986,0.09473937175753244,,
seed-42,800,emotion,0.68359375,0.68359375,0.9096130063131777,0.44756961709529897,0.07459493618254984,1.0,256,0.5939470256472202,0.11764097672808269,,
seed-42,800,esci_es,0.55078125,0.55078125,1.0995060091918596,0.5871947461834389,0.14679868654585973,1.0,256,0.4802152296720431,0.06812016256580249,,
seed-42,800,esci_jp,0.5703125,0.5703125,1.0259624210009395,0.5708073800409618,0.14270184501024044,1.0,256,0.4873187326921359,0.08344808784986846,,
seed-42,800,esci_us,0.48828125,0.48828125,1.0950937242439698,0.6227817503490325,0.15569543758725812,1.0,256,0.4228490843647702,0.08941501949691369,,
seed-42,800,mail_phishing,0.96875,0.96875,0.4783080205327354,0.062368221472265103,0.031184110736132552,1.0,256,0.9687480925349448,0.031193462225425517,,
seed-42,800,mail_spam,0.95703125,0.95703125,0.4963844092454096,0.07977923611234129,0.039889618056170646,1.0,256,0.9498280684875372,0.04089993640555877,,
seed-42,800,massive_en-US,0.7265625,0.7265625,1.2053394774007358,0.36261620346261636,0.006043603391043605,1.0,256,0.6055313114517296,0.04330380009310459,,
seed-42,800,massive_zh-CN,0.69140625,0.69140625,1.3754025256561038,0.41596607111357553,0.006932767851892926,1.0,256,0.6019140829408686,0.07944836551894745,,
seed-42,800,scienceqa,0.9296875,0.9296875,0.2816639017397295,0.1292525936885982,0.0460645495154765,1.0,256,,0.045173453774481884,,
seed-42,800,screenqa_choice,0.171875,0.171875,2.597359858270062,0.896373381692733,0.051699292909638574,1.0,256,,0.03975186392229915,,
seed-42,800,screenqa_noul,0.625,0.625,0.6620519063990585,0.46664353508522033,0.23332176754261016,1.0,256,0.6216748768472906,0.07689286354547983,,
seed-42,800,sharc,0.63671875,0.63671875,0.9064080109017953,0.5182608417410222,0.12956521043525554,1.0,256,0.5934831957170934,0.14436039316053062,,
seed-42,800,sms_spam,0.96484375,0.96484375,0.5933448405427226,0.0703114619492026,0.0351557309746013,1.0,256,0.9083349910483389,0.03501518935982317,,
seed-42,800,typed_decisions,0.65625,0.5296419307747919,1.0593291691974625,0.15113279145753988,0.04537474969322232,1.0,256,,0.07008394024342356,0.4125306466966258,0.047315098297412435
