run,dataset,calibration,selected_step,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,ag_news,uncalibrated,2800,0.9003947368421052,0.9003947368421052,0.8728420960321825,0.17778425913075335,0.04444606478268834,1.0,7600,0.9002771996545019,0.08322540816705055,,
seed-42,aokvqa,uncalibrated,2800,0.836555360281195,0.836555360281195,0.6347104737183652,0.2501882924682452,0.0625470731170613,1.0,1138,,0.09304711502329568,,
seed-42,banking77,uncalibrated,2800,0.737012987012987,0.737012987012987,1.0536205837149644,0.3763022331263693,0.004887041988654147,1.0,3080,0.7276599101009442,0.027452904118969605,,
seed-42,boolq,uncalibrated,2800,0.8770642201834863,0.8770642201834863,0.38544714273291814,0.1954833579262182,0.0977416789631091,1.0,3270,0.8686855085157529,0.06097677291250723,,
seed-42,clevr_attribute,uncalibrated,2800,0.9892060892544757,0.9892060892544757,0.16865292647505573,0.020655887877607047,0.007381707435572844,1.0,53734,,0.010040581112599405,,
seed-42,clevr_count,uncalibrated,2800,0.8972107729659533,0.8972107729659533,0.7159237827966647,0.1748906656769725,0.015899151425179316,1.0,35422,0.6193295437617965,0.07925003663526313,0.11316174764531879,0.009685124384964178
seed-42,clevr_exist,uncalibrated,2800,0.9857892652010299,0.9857892652010299,0.25256372787182096,0.027694856035372414,0.013847428017686207,1.0,20196,0.9857850203116877,0.013709161305225924,,
seed-42,contract_nli,uncalibrated,2800,0.855924978687127,0.855924978687127,0.5013648646302605,0.23459797751165498,0.07819932583721834,1.0,1173,0.8130575071839766,0.08878014385735268,,
seed-42,emotion,uncalibrated,2800,0.77,0.77,0.7237284479320804,0.3437685975604364,0.05729476626007273,1.0,2000,0.6980996095359879,0.07774594460729131,,
seed-42,esci_es,uncalibrated,2800,0.6025641025641025,0.6025641025641025,0.9240919116014168,0.5098410227057599,0.12746025567643998,1.0,1482,0.5461199135638269,0.03424735760122498,,
seed-42,esci_jp,uncalibrated,2800,0.6380894060012248,0.6380894060012248,0.8877800691821264,0.4907748398262644,0.1226937099565661,1.0,1633,0.5375069457021375,0.03489831526916976,,
seed-42,esci_us,uncalibrated,2800,0.5764192139737991,0.5764192139737991,0.9185274879060655,0.5315226239348125,0.13288065598370313,1.0,1145,0.5151070218716626,0.04887069048301716,,
seed-42,mail_phishing,uncalibrated,2800,0.9895238095238095,0.9895238095238095,0.1327186084150618,0.01864482181421142,0.00932241090710571,1.0,1050,0.9890916200030411,0.009690263454439609,,
seed-42,mail_spam,uncalibrated,2800,0.9894613583138173,0.9894613583138173,0.16581889537165487,0.021062625778220635,0.010531312889110318,1.0,854,0.9865185094235374,0.010505923203170342,,
seed-42,massive_en-US,uncalibrated,2800,0.7888888888888889,0.7888888888888889,0.7712894559287087,0.3085149230609853,0.0051419153843497555,1.0,2970,0.7133757785209848,0.05316833987179305,,
