unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1790304464.312001,22527868928,5,55763000,49000,14882631680
1790304465.31254,22527868928,100,206336000,59000,14882594816
1790304466.3131518,22527868928,100,364378000,60000,14882594816
1790304467.314388,22527868928,100,377519000,62000,14882594816
1790304468.315045,22527868928,0,245376000,50000,14882615296
1790304469.3162336,22527868928,55,270561000,53000,14882705408
1790304470.3171535,22527868928,0,189379000,51000,14882758656
1790304471.3177912,22527868928,0,214493000,51000,14882803712
1790304472.3185847,22527868928,0,179604000,51000,14882840576
1790304473.3307087,22527868928,0,73193000,49000,14882848768
1790304474.3313665,22527868928,1,240554000,52000,14882873344
1790304475.3319125,22527868928,0,71456000,49000,14882836480
1790304476.3324227,22527868928,0,101419000,49000,14883815424
1790304477.3330255,22527868928,0,85707000,49000,14894612480
1790304478.3334653,22527868928,0,85623000,49000,14894612480
1790304479.3340268,22527868928,0,68089000,48000,14897680384
1790304480.334589,22527868928,0,61349000,47000,14904819712
1790304481.3352077,22544646144,0,54844000,47000,14904868864
1790304482.3436427,22544646144,0,69085000,47000,14898130944
1790304483.34428,22544646144,0,109069000,48000,14898126848
1790304484.3448431,22544646144,0,120847000,49000,14898147328
1790304485.3459287,22544646144,0,121843000,47000,14898257920
1790304486.3465059,22544646144,66,105713000,48000,14898216960
1790304487.3470795,22544646144,0,129883000,47000,14902173696
1790304488.347603,22544646144,51,101275000,47000,14912217088
1790304489.3483665,22544646144,0,77641000,46000,14918184960
1790304490.453053,22544646144,83,64227000,47000,14918184960
1790304491.4536622,22544646144,0,128655000,48000,14919995392
1790304492.4541817,22544646144,30,102795000,49000,14919995392
1790304493.454733,22544646144,0,135341000,46000,14920081408
1790304494.455337,22544646144,36,149132000,47000,14920204288
1790304495.4558532,22544646144,23,155657000,48000,14921846784
1790304496.4563324,22544646144,0,127035000,47000,14921789440
1790304497.456816,22544646144,56,162166000,48000,14921871360
1790304498.4989426,22544646144,48,123962000,54000,14921908224
1790304499.499697,22544646144,0,157767000,47000,14927392768
1790304500.5002816,22544646144,0,97591000,46000,14927437824
1790304501.5010006,22544646144,0,123026000,46000,14934503424
1790304502.501736,22544646144,0,91947000,46000,14942298112
1790304503.502198,22544646144,0,99319000,46000,14942248960
1790304504.5026758,22544646144,0,93759000,46000,14942302208
1790304505.5032015,22544646144,100,184530000,56000,14942265344
1790304506.5045242,22544646144,0,310054000,48000,14942285824
1790304507.5052042,22544646144,7,266288000,49000,14942298112
1790304508.5058124,22544646144,89,204237000,58000,15009640448
1790304509.5064585,22544646144,42,198037000,55000,15009906688
1790304510.5072794,22544646144,0,260383000,48000,15010967552
1790304511.507894,22544646144,0,120079000,47000,15013023744
1790304512.5087912,22544646144,87,265300000,58000,15013031936
1790304513.5098414,22544646144,91,382630000,60000,15013036032
1790304514.510546,22544646144,0,274199000,49000,15013998592
1790304515.5112877,22544646144,75,203450000,57000,15014756352
1790304516.5118656,22546743296,100,239548000,60000,15015424000
1790304517.5127668,22546743296,100,198973000,59000,15016779776
1790304518.5134234,22546743296,0,269509000,49000,15018471424
1790304519.514034,22546743296,22,223753000,56000,15019216896
1790304520.5148005,22546743296,100,355861000,60000,15019909120
1790304521.515529,22546743296,0,140996000,49000,15027650560
1790304522.516437,22546743296,46,90569000,50000,15032848384
1790304523.5171263,22546743296,0,97213000,48000,15046053888
1790304524.5177023,22546743296,0,85733000,47000,15046053888
1790304525.5183332,22546743296,0,68522000,47000,15049506816
1790304526.5189779,22546743296,0,61370000,46000,15056699392
1790304527.5196407,22546743296,0,54283000,46000,15056703488
1790304528.5326583,22546743296,0,69022000,46000,15056687104
1790304529.5334542,22546743296,85,120716000,51000,15056678912
1790304530.5340538,22546743296,100,363232000,58000,15056678912
1790304531.5347526,22546743296,0,254459000,48000,15056695296
1790304532.535891,22546743296,8,112619000,50000,15056703488
1790304533.5365407,22546743296,0,252801000,49000,15056740352
1790304534.5371566,22546743296,74,203985000,55000,15056715776
1790304535.5377378,22546743296,91,288800000,56000,15056723968
1790304536.5384977,22546743296,0,316192000,50000,15057539072
1790304537.539304,22546743296,0,86026000,49000,15057539072
1790304538.5401938,22546743296,0,100922000,48000,15067987968
1790304539.5408561,22546743296,0,85216000,47000,15067987968
1790304540.5415547,22546743296,0,68958000,46000,15067987968
1790304541.5421884,22546743296,0,61755000,46000,15081897984
1790304542.5433383,22546743296,0,54919000,45000,15081865216
1790304543.5442135,22546743296,0,70829000,46000,15081906176
1790304544.5595293,22546743296,0,111477000,47000,15081914368
1790304545.5602381,22546743296,79,143546000,49000,15081938944
1790304546.5608354,22546743296,0,122819000,46000,15081947136
1790304547.5615525,22546743296,0,132558000,47000,15081975808
1790304548.562278,22546743296,77,122270000,46000,15083184128
1790304549.5630016,22546743296,0,103059000,50000,15083192320
1790304550.563604,22546743296,52,111943000,48000,15083200512
1790304551.5644062,22546743296,0,91255000,45000,15090130944
1790304552.5670602,22546743296,0,95382000,45000,15090139136
1790304553.6339362,22546743296,0,92784000,45000,15090122752
1790304554.6345537,22546743296,0,80420000,45000,15090147328
1790304555.6351576,22546743296,100,286763000,55000,15090102272
1790304556.6358745,22546743296,100,364366000,58000,15090143232
1790304557.6367967,22546743296,0,173566000,56000,15090114560
1790304558.637269,22546743296,100,357901000,56000,15090114560
1790304559.637924,22546743296,92,253696000,48000,15090151424
1790304560.6385543,22546743296,100,211589000,49000,15090147328
1790304561.6391664,22546743296,77,189191000,51000,15090155520
1790304562.6400833,22546743296,100,276557000,59000,15090122752
1790304563.6415927,22546743296,100,389126000,60000,15090122752
1790304564.6422083,22546743296,100,352765000,53000,15090221056
1790304565.643214,22546743296,0,179537000,58000,15090188288
1790304566.6439404,22546743296,100,364777000,59000,15090188288
1790304567.6447515,22546743296,30,260369000,57000,15090188288
1790304568.6458652,22546743296,98,314206000,54000,15090278400
1790304569.64655,22546743296,78,198015000,50000,15090692096
1790304570.6474595,22546743296,75,222374000,58000,15091314688
1790304571.6482055,22546743296,0,204435000,55000,15092195328
1790304572.6488307,22546743296,100,283060000,50000,15092506624
1790304573.6498015,22546743296,100,224144000,59000,15093096448
1790304574.6504686,22546743296,100,339526000,52000,15093596160
1790304575.6512973,22546743296,0,154456000,51000,15094468608
1790304576.6519294,22546743296,100,286504000,52000,15095025664
1790304577.652691,22546743296,0,70944000,49000,15101071360
1790304578.6533864,22546743296,0,102820000,49000,15101038592
1790304579.6542382,22546743296,0,86742000,48000,15122890752
1790304580.6549542,22546743296,0,86746000,48000,15122890752
1790304581.6558106,22546743296,0,65441000,47000,15122894848
1790304582.656515,22546743296,0,60004000,47000,15122894848
1790304583.6678114,22557229056,0,55041000,46000,15122857984
1790304584.668681,22557229056,0,70299000,47000,15122894848
1790304585.6694832,22557229056,41,114702000,49000,15122886656
1790304586.6704457,22557229056,0,186650000,56000,15122857984
1790304587.6710336,22557229056,100,367684000,59000,15122857984
1790304588.6718593,22557229056,100,373696000,61000,15122890752
1790304589.672687,22557229056,100,180130000,49000,15122862080
1790304590.6735063,22557229056,100,329369000,60000,15122866176
1790304591.6741333,22557229056,100,324739000,55000,15122894848
1790304592.6747994,22557229056,0,119481000,48000,15124238336
1790304593.6753883,22557229056,80,189659000,51000,15124230144
1790304594.676648,22557229056,87,165688000,49000,15124197376
1790304595.6772501,22557229056,17,155008000,49000,15124213760
1790304596.678048,22557229056,0,102315000,48000,15128326144
