run,primitive,candidates,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,ece_15,score_mae,rps
seed-42,choice,2,0.9867004892190614,0.9867004892190614,0.12480489721788386,0.023299331155535043,0.011649665577767521,1.0,27595,0.010773367901139367,,
seed-42,choice,3,0.9171067370779324,0.9171067370779324,0.2644061323071008,0.12485889339190506,0.04161963113063503,1.0,24996,0.019856924668218822,,
seed-42,choice,4,0.7776540294916915,0.7748773642014384,0.6601949088143862,0.31020502058523547,0.07755125514630887,1.0,22447,0.05620249959038022,,
seed-42,choice,5,0.7611336032388664,0.6588881014495316,0.941557271275234,0.1810360727637394,0.03620721455274788,1.0,247,0.1560293990484621,,
seed-42,choice,6,0.7670144063586687,0.7670144063586687,0.6865381081658798,0.34099736480450593,0.056832894134084315,1.0,2013,0.04839640843327331,,
seed-42,choice,7,0.3076923076923077,0.3076923076923077,1.9857248938228798,0.8675289646122037,0.12393270923031482,1.0,13,0.17258931456685087,,
seed-42,choice,8,0.9876087918572061,0.9876087918572061,0.1492104854678962,0.02201480056067194,0.0027518500700839926,1.0,13558,0.010223438251357962,,
seed-42,choice,9,0.7241379310344828,0.7241379310344828,1.4096284394230136,0.6400733063002971,0.07111925625558858,1.0,29,0.4562529916685437,,
seed-42,choice,10,0.2857142857142857,0.2857142857142857,1.7916350681151614,0.7930654093808233,0.07930654093808231,1.0,21,0.08013074410538716,,
seed-42,choice,11,0.3333333333333333,0.3333333333333333,1.7574299300145935,0.7517252955319079,0.06833866323017343,1.0,36,0.22621223687419123,,
seed-42,choice,12,0.24242424242424243,0.24242424242424243,1.877071854569443,0.7961851995268009,0.06634876662723341,1.0,33,0.05680055752625225,,
seed-42,choice,13,0.11428571428571428,0.11428571428571428,2.191839317756156,0.8641325784422752,0.06647173680325193,1.0,35,0.08973021111175461,,
seed-42,choice,14,0.3023255813953488,0.3023255813953488,2.128496675289732,0.8395724473603771,0.05996946052574122,1.0,43,0.15768050737702705,,
seed-42,choice,15,0.06896551724137931,0.06896551724137931,2.2755866252344075,0.8751807289457875,0.05834538192971917,1.0,29,0.09820693221003565,,
seed-42,choice,16,0.14,0.14,2.5285759718426646,0.9037893819141578,0.05648683636963486,1.0,50,0.12631227007659432,,
seed-42,choice,17,0.2222222222222222,0.2222222222222222,2.2584293171948833,0.8633767307635922,0.05078686651550543,1.0,36,0.12286370675426464,,
