engine,case,questions,repeat,end_to_end_ms,input_shape,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib,device_free_gib,device_total_gib,telemetry_board_vram_bytes_max,telemetry_board_vram_bytes_mean,telemetry_gpu_busy_percent_max,telemetry_gpu_busy_percent_mean,telemetry_power_microwatts_max,telemetry_power_microwatts_mean,telemetry_rss_bytes_max,telemetry_rss_bytes_mean,telemetry_temperature_millidegrees_max,telemetry_temperature_millidegrees_mean
linnaeus,vision_protocol_text_1q,1,0,44.86930405255407,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,1,44.816222973167896,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,2,44.446044019423425,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,3,44.11561007145792,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,4,44.38029101584107,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,5,44.329053023830056,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,6,44.44006294943392,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,7,44.33141800109297,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,8,44.911994016729295,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
linnaeus,vision_protocol_text_1q,1,9,43.949506944045424,"[1, 43]",4.130833625793457,4.16796875,4.13405704498291,4.16796875,18.886474609375,23.5164794921875,5478023168,5478023168,9,9,71888000,69704558.13953489,1632403456,1632390215.4418604,53000,53000
